Epoch 1, Loss G: -0.0548,Loss D: -0.0102
Epoch 482, Loss G: -5.6465,Loss D:  0.0401
Epoch 483, Loss G: -5.5931,Loss D: -0.3522
Epoch 484, Loss G: -5.6207,Loss D: -0.3520
Epoch 485, Loss G: -5.8219,Loss D:  0.3319
Epoch 486, Loss G: -5.9551,Loss D:  0.2122
Epoch 487, Loss G: -5.9253,Loss D:  0.2949
Epoch 488, Loss G: -6.1807,Loss D: -0.2099
Epoch 489, Loss G: -5.4699,Loss D: -0.0854
Epoch 490, Loss G: -5.6238,Loss D: -0.0018
Epoch 491, Loss G: -5.6560,Loss D: -0.0937
Epoch 492, Loss G: -5.9798,Loss D:  0.0525
Epoch 493, Loss G: -5.8760,Loss D:  0.4064
Epoch 494, Loss G: -5.9516,Loss D: -0.7784
Epoch 495, Loss G: -6.0217,Loss D:  0.1492
Epoch 496, Loss G: -6.2374,Loss D: -0.1402
Epoch 497, Loss G: -6.0094,Loss D:  0.0710
Epoch 498, Loss G: -6.4700,Loss D:  0.1760
Epoch 499, Loss G: -6.2160,Loss D: -0.0266
Epoch 500, Loss G: -6.7099,Loss D: -0.1413 
