Epoch 1, Loss G:  1.3784,Loss D:  0.0065
Epoch 482, Loss G: -1.7596,Loss D:  0.2583
Epoch 483, Loss G: -1.9047,Loss D:  0.5022
Epoch 484, Loss G: -2.0755,Loss D: -0.0844
Epoch 485, Loss G: -2.0840,Loss D:  0.0362
Epoch 486, Loss G: -1.9494,Loss D:  0.3313
Epoch 487, Loss G: -2.0248,Loss D:  0.1297
Epoch 488, Loss G: -1.7903,Loss D: -0.0736
Epoch 489, Loss G: -1.6607,Loss D: -0.0777
Epoch 490, Loss G: -1.8323,Loss D: -0.0821
Epoch 491, Loss G: -1.4834,Loss D:  0.0865
Epoch 492, Loss G: -1.5803,Loss D: -0.2965
Epoch 493, Loss G: -1.4297,Loss D: -0.3751
Epoch 494, Loss G: -1.3538,Loss D: -0.4962
Epoch 495, Loss G: -0.8902,Loss D: -0.4475
Epoch 496, Loss G: -1.2293,Loss D: -0.3284
Epoch 497, Loss G: -1.3340,Loss D: -0.3878
Epoch 498, Loss G: -1.2303,Loss D: -0.1161
Epoch 499, Loss G: -1.2183,Loss D:  0.0148
Epoch 500, Loss G: -1.4123,Loss D:  0.1059
